classifier,parameter,fold,test_accuracy,test_f1_score
DecisionTree,1,1,0.755,0.735
DecisionTree,2,1,0.755,0.735
DecisionTree,3,1,0.762,0.761
DecisionTree,4,1,0.767,0.758
DecisionTree,5,1,0.774,0.769
DecisionTree,6,1,0.775,0.779
DecisionTree,7,1,0.78,0.781
DecisionTree,8,1,0.794,0.798
DecisionTree,9,1,0.8,0.802
DecisionTree,10,1,0.822,0.825
DecisionTree,11,1,0.832,0.837
DecisionTree,12,1,0.837,0.84
DecisionTree,13,1,0.865,0.871
DecisionTree,14,1,0.879,0.884
DecisionTree,15,1,0.897,0.903
DecisionTree,16,1,0.898,0.903
DecisionTree,17,1,0.916,0.92
DecisionTree,18,1,0.928,0.932
DecisionTree,19,1,0.934,0.937
DecisionTree,20,1,0.941,0.944
DecisionTree,1,2,0.75,0.727
DecisionTree,2,2,0.75,0.727
DecisionTree,3,2,0.755,0.753
DecisionTree,4,2,0.76,0.761
DecisionTree,5,2,0.764,0.764
DecisionTree,6,2,0.771,0.774
DecisionTree,7,2,0.777,0.778
DecisionTree,8,2,0.787,0.791
DecisionTree,9,2,0.802,0.802
DecisionTree,10,2,0.809,0.812
DecisionTree,11,2,0.824,0.825
DecisionTree,12,2,0.843,0.844
DecisionTree,13,2,0.857,0.862
DecisionTree,14,2,0.876,0.88
DecisionTree,15,2,0.887,0.891
DecisionTree,16,2,0.903,0.908
DecisionTree,17,2,0.919,0.922
DecisionTree,18,2,0.923,0.926
DecisionTree,19,2,0.935,0.937
DecisionTree,20,2,0.937,0.939
DecisionTree,1,3,0.754,0.734
DecisionTree,2,3,0.754,0.734
DecisionTree,3,3,0.759,0.76
DecisionTree,4,3,0.767,0.759
DecisionTree,5,3,0.77,0.773
DecisionTree,6,3,0.773,0.771
DecisionTree,7,3,0.781,0.779
DecisionTree,8,3,0.793,0.798
DecisionTree,9,3,0.804,0.808
DecisionTree,10,3,0.817,0.82
DecisionTree,11,3,0.83,0.835
DecisionTree,12,3,0.849,0.853
DecisionTree,13,3,0.866,0.872
DecisionTree,14,3,0.879,0.885
DecisionTree,15,3,0.894,0.899
DecisionTree,16,3,0.905,0.91
DecisionTree,17,3,0.914,0.919
DecisionTree,18,3,0.932,0.936
DecisionTree,19,3,0.937,0.94
DecisionTree,20,3,0.939,0.943
DecisionTree,1,4,0.757,0.734
DecisionTree,2,4,0.757,0.734
DecisionTree,3,4,0.764,0.761
DecisionTree,4,4,0.769,0.758
DecisionTree,5,4,0.772,0.769
DecisionTree,6,4,0.779,0.764
DecisionTree,7,4,0.785,0.779
DecisionTree,8,4,0.795,0.797
DecisionTree,9,4,0.802,0.803
DecisionTree,10,4,0.812,0.816
DecisionTree,11,4,0.828,0.83
DecisionTree,12,4,0.844,0.848
DecisionTree,13,4,0.867,0.873
DecisionTree,14,4,0.88,0.884
DecisionTree,15,4,0.885,0.889
DecisionTree,16,4,0.906,0.909
DecisionTree,17,4,0.909,0.913
DecisionTree,18,4,0.927,0.93
DecisionTree,19,4,0.932,0.935
DecisionTree,20,4,0.939,0.941
DecisionTree,1,5,0.751,0.727
DecisionTree,2,5,0.751,0.727
DecisionTree,3,5,0.759,0.756
DecisionTree,4,5,0.763,0.751
DecisionTree,5,5,0.77,0.766
DecisionTree,6,5,0.776,0.778
DecisionTree,7,5,0.777,0.777
DecisionTree,8,5,0.786,0.779
DecisionTree,9,5,0.803,0.808
DecisionTree,10,5,0.814,0.817
DecisionTree,11,5,0.823,0.827
DecisionTree,12,5,0.841,0.846
DecisionTree,13,5,0.861,0.866
DecisionTree,14,5,0.874,0.878
DecisionTree,15,5,0.891,0.895
DecisionTree,16,5,0.909,0.913
DecisionTree,17,5,0.918,0.921
DecisionTree,18,5,0.922,0.925
DecisionTree,19,5,0.934,0.937
DecisionTree,20,5,0.937,0.94
