classifier,parameter,fold,test_accuracy,test_f1_score
DecisionTree,1,1,0.913,0.0
DecisionTree,2,1,0.918,0.199
DecisionTree,3,1,0.921,0.377
DecisionTree,4,1,0.92,0.382
DecisionTree,5,1,0.922,0.29
DecisionTree,6,1,0.922,0.361
DecisionTree,7,1,0.921,0.319
DecisionTree,8,1,0.92,0.325
DecisionTree,9,1,0.919,0.339
DecisionTree,10,1,0.918,0.346
DecisionTree,11,1,0.916,0.335
DecisionTree,12,1,0.913,0.354
DecisionTree,13,1,0.911,0.341
DecisionTree,14,1,0.911,0.354
DecisionTree,15,1,0.907,0.346
DecisionTree,16,1,0.907,0.358
DecisionTree,17,1,0.9,0.361
DecisionTree,18,1,0.902,0.357
DecisionTree,19,1,0.898,0.341
DecisionTree,20,1,0.897,0.357
DecisionTree,1,2,0.916,0.0
DecisionTree,2,2,0.919,0.202
DecisionTree,3,2,0.921,0.317
DecisionTree,4,2,0.921,0.362
DecisionTree,5,2,0.921,0.28
DecisionTree,6,2,0.922,0.29
DecisionTree,7,2,0.924,0.328
DecisionTree,8,2,0.921,0.295
DecisionTree,9,2,0.919,0.308
DecisionTree,10,2,0.92,0.308
DecisionTree,11,2,0.919,0.327
DecisionTree,12,2,0.916,0.347
DecisionTree,13,2,0.914,0.341
DecisionTree,14,2,0.913,0.329
DecisionTree,15,2,0.905,0.326
DecisionTree,16,2,0.906,0.34
DecisionTree,17,2,0.904,0.34
DecisionTree,18,2,0.903,0.346
DecisionTree,19,2,0.897,0.337
DecisionTree,20,2,0.897,0.348
DecisionTree,1,3,0.911,0.0
DecisionTree,2,3,0.917,0.228
DecisionTree,3,3,0.92,0.342
DecisionTree,4,3,0.921,0.264
DecisionTree,5,3,0.919,0.242
DecisionTree,6,3,0.921,0.336
DecisionTree,7,3,0.92,0.328
DecisionTree,8,3,0.92,0.354
DecisionTree,9,3,0.919,0.382
DecisionTree,10,3,0.919,0.373
DecisionTree,11,3,0.918,0.368
DecisionTree,12,3,0.912,0.313
DecisionTree,13,3,0.915,0.37
DecisionTree,14,3,0.912,0.358
DecisionTree,15,3,0.907,0.357
DecisionTree,16,3,0.906,0.369
DecisionTree,17,3,0.904,0.355
DecisionTree,18,3,0.903,0.373
DecisionTree,19,3,0.9,0.37
DecisionTree,20,3,0.894,0.343
DecisionTree,1,4,0.915,0.0
DecisionTree,2,4,0.919,0.168
DecisionTree,3,4,0.923,0.314
DecisionTree,4,4,0.923,0.296
DecisionTree,5,4,0.92,0.215
DecisionTree,6,4,0.923,0.298
DecisionTree,7,4,0.924,0.282
DecisionTree,8,4,0.922,0.321
DecisionTree,9,4,0.921,0.308
DecisionTree,10,4,0.92,0.354
DecisionTree,11,4,0.921,0.349
DecisionTree,12,4,0.916,0.352
DecisionTree,13,4,0.915,0.338
DecisionTree,14,4,0.913,0.354
DecisionTree,15,4,0.909,0.345
DecisionTree,16,4,0.907,0.35
DecisionTree,17,4,0.905,0.347
DecisionTree,18,4,0.903,0.367
DecisionTree,19,4,0.9,0.358
DecisionTree,20,4,0.897,0.346
DecisionTree,1,5,0.913,0.0
DecisionTree,2,5,0.917,0.166
DecisionTree,3,5,0.922,0.377
DecisionTree,4,5,0.92,0.258
DecisionTree,5,5,0.92,0.31
DecisionTree,6,5,0.922,0.34
DecisionTree,7,5,0.919,0.295
DecisionTree,8,5,0.921,0.33
DecisionTree,9,5,0.92,0.338
DecisionTree,10,5,0.92,0.343
DecisionTree,11,5,0.917,0.33
DecisionTree,12,5,0.912,0.308
DecisionTree,13,5,0.915,0.369
DecisionTree,14,5,0.911,0.351
DecisionTree,15,5,0.907,0.347
DecisionTree,16,5,0.906,0.347
DecisionTree,17,5,0.907,0.379
DecisionTree,18,5,0.901,0.339
DecisionTree,19,5,0.897,0.357
DecisionTree,20,5,0.896,0.363
