classifier,parameter,fold,test_accuracy,test_f1_score
DecisionTree,1,1,0.756,0.739
DecisionTree,2,1,0.756,0.739
DecisionTree,3,1,0.765,0.76
DecisionTree,4,1,0.768,0.76
DecisionTree,5,1,0.776,0.775
DecisionTree,6,1,0.78,0.781
DecisionTree,7,1,0.785,0.788
DecisionTree,8,1,0.797,0.8
DecisionTree,9,1,0.811,0.816
DecisionTree,10,1,0.821,0.828
DecisionTree,11,1,0.836,0.842
DecisionTree,12,1,0.85,0.855
DecisionTree,13,1,0.872,0.877
DecisionTree,14,1,0.896,0.901
DecisionTree,15,1,0.905,0.909
DecisionTree,16,1,0.922,0.925
DecisionTree,17,1,0.931,0.935
DecisionTree,18,1,0.935,0.938
DecisionTree,19,1,0.939,0.942
DecisionTree,20,1,0.946,0.948
DecisionTree,1,2,0.751,0.732
DecisionTree,2,2,0.751,0.732
DecisionTree,3,2,0.758,0.755
DecisionTree,4,2,0.764,0.754
DecisionTree,5,2,0.768,0.772
DecisionTree,6,2,0.775,0.779
DecisionTree,7,2,0.786,0.785
DecisionTree,8,2,0.793,0.794
DecisionTree,9,2,0.804,0.807
DecisionTree,10,2,0.819,0.822
DecisionTree,11,2,0.837,0.841
DecisionTree,12,2,0.849,0.855
DecisionTree,13,2,0.873,0.879
DecisionTree,14,2,0.891,0.895
DecisionTree,15,2,0.899,0.902
DecisionTree,16,2,0.917,0.92
DecisionTree,17,2,0.926,0.929
DecisionTree,18,2,0.935,0.938
DecisionTree,19,2,0.937,0.94
DecisionTree,20,2,0.946,0.948
DecisionTree,1,3,0.757,0.741
DecisionTree,2,3,0.757,0.741
DecisionTree,3,3,0.765,0.761
DecisionTree,4,3,0.768,0.766
DecisionTree,5,3,0.778,0.783
DecisionTree,6,3,0.777,0.778
DecisionTree,7,3,0.785,0.783
DecisionTree,8,3,0.797,0.802
DecisionTree,9,3,0.813,0.818
DecisionTree,10,3,0.819,0.828
DecisionTree,11,3,0.837,0.843
DecisionTree,12,3,0.855,0.863
DecisionTree,13,3,0.866,0.87
DecisionTree,14,3,0.894,0.899
DecisionTree,15,3,0.903,0.909
DecisionTree,16,3,0.92,0.924
DecisionTree,17,3,0.921,0.925
DecisionTree,18,3,0.935,0.939
DecisionTree,19,3,0.947,0.95
DecisionTree,20,3,0.941,0.944
DecisionTree,1,4,0.758,0.739
DecisionTree,2,4,0.758,0.739
DecisionTree,3,4,0.768,0.765
DecisionTree,4,4,0.768,0.781
DecisionTree,5,4,0.781,0.782
DecisionTree,6,4,0.783,0.776
DecisionTree,7,4,0.789,0.785
DecisionTree,8,4,0.799,0.799
DecisionTree,9,4,0.808,0.811
DecisionTree,10,4,0.824,0.827
DecisionTree,11,4,0.834,0.838
DecisionTree,12,4,0.855,0.857
DecisionTree,13,4,0.871,0.875
DecisionTree,14,4,0.887,0.892
DecisionTree,15,4,0.906,0.91
DecisionTree,16,4,0.912,0.916
DecisionTree,17,4,0.923,0.926
DecisionTree,18,4,0.934,0.937
DecisionTree,19,4,0.943,0.945
DecisionTree,20,4,0.943,0.945
DecisionTree,1,5,0.753,0.734
DecisionTree,2,5,0.753,0.734
DecisionTree,3,5,0.763,0.758
DecisionTree,4,5,0.766,0.763
DecisionTree,5,5,0.775,0.775
DecisionTree,6,5,0.78,0.781
DecisionTree,7,5,0.787,0.79
DecisionTree,8,5,0.8,0.795
DecisionTree,9,5,0.807,0.81
DecisionTree,10,5,0.822,0.827
DecisionTree,11,5,0.835,0.838
DecisionTree,12,5,0.85,0.856
DecisionTree,13,5,0.873,0.878
DecisionTree,14,5,0.895,0.899
DecisionTree,15,5,0.901,0.905
DecisionTree,16,5,0.913,0.917
DecisionTree,17,5,0.925,0.928
DecisionTree,18,5,0.934,0.937
DecisionTree,19,5,0.943,0.945
DecisionTree,20,5,0.945,0.947
