Feature,DecisionTree_Importance,RandomForest_Importance,Mean_Importance
age,0.012804034662266244,0.014308159576557402,0.013556097119411824
bmi,0.011267086468988434,0.0101445093604744,0.010705797914731417
elective_surgery,0.000584063115024895,0.0023698265219397278,0.0014769448184823114
ethnicity,0.002434491048210096,0.0020306753346146576,0.002232583191412377
gender,0.0015931025051345304,0.0009053484271123092,0.0012492254661234199
height,0.006796617234665341,0.007618969644873989,0.007207793439769665
icu_admit_source,0.0031812198444641565,0.0033913939423952425,0.0032863068934296993
icu_type,0.003940543182941603,0.003657488433588083,0.0037990158082648433
pre_icu_los_days,0.006188746749801245,0.007704193058077693,0.006946469903939469
weight,0.004963985073989191,0.009960625363659104,0.007462305218824147
apache_2_diagnosis,0.00596838590720881,0.011244728602110508,0.008606557254659659
apache_3j_diagnosis,0.023955153914361003,0.019646349132879926,0.021800751523620467
apache_post_operative,0.0005792858686912977,0.0014685821899736108,0.0010239340293324542
arf_apache,9.623235700674396e-05,0.0005095217167688294,0.00030287703688778667
bun_apache,0.006145277949268096,0.013780416736403052,0.009962847342835573
creatinine_apache,0.0039927963414570534,0.009956568534818884,0.006974682438137969
gcs_eyes_apache,0.002615905588464859,0.014370947681707732,0.008493426635086296
gcs_motor_apache,0.0019974984703288387,0.02160571127985129,0.011801604875090065
gcs_unable_apache,0.0005031243217345454,0.0005545156009017066,0.000528819961318126
gcs_verbal_apache,0.011912407694977981,0.013371748648632891,0.012642078171805435
glucose_apache,0.011071195908236376,0.009663419846064406,0.01036730787715039
heart_rate_apache,0.010145899010640995,0.009628628780114732,0.009887263895377862
hematocrit_apache,0.005339466945657008,0.007432080472165214,0.006385773708911111
intubated_apache,0.001348543782745334,0.003285834893864598,0.002317189338304966
map_apache,0.007975138223448428,0.008479101458538111,0.00822711984099327
resprate_apache,0.008410790709990651,0.009236276436829496,0.008823533573410074
sodium_apache,0.005997266059494617,0.005898998172874558,0.005948132116184588
temp_apache,0.006802386340429686,0.008669472682179689,0.007735929511304687
ventilated_apache,0.01598229030908324,0.022915747714552976,0.019449019011818107
wbc_apache,0.008274218639195264,0.00844639599233082,0.008360307315763042
d1_diasbp_max,0.005296767942300209,0.0068166316027149535,0.006056699772507581
d1_diasbp_min,0.006780044952802997,0.009794045722132492,0.008287045337467745
d1_diasbp_noninvasive_max,0.006683353978426056,0.006934976883970069,0.006809165431198062
d1_diasbp_noninvasive_min,0.007022672497959571,0.007519228038026065,0.007270950267992818
d1_heartrate_max,0.014176848332262416,0.013474974894247753,0.013825911613255085
d1_heartrate_min,0.01032143490879476,0.010571965030026843,0.010446699969410802
