classifier,parameter,fold,test_accuracy,test_f1_score
RandomForest,10,1,0.989,0.989
RandomForest,20,1,0.989,0.989
RandomForest,30,1,0.99,0.99
RandomForest,40,1,0.99,0.99
RandomForest,50,1,0.99,0.99
RandomForest,60,1,0.99,0.99
RandomForest,70,1,0.99,0.99
RandomForest,80,1,0.991,0.991
RandomForest,90,1,0.991,0.991
RandomForest,100,1,0.991,0.991
RandomForest,10,2,0.987,0.987
RandomForest,20,2,0.988,0.988
RandomForest,30,2,0.988,0.989
RandomForest,40,2,0.989,0.989
RandomForest,50,2,0.989,0.989
RandomForest,60,2,0.989,0.989
RandomForest,70,2,0.989,0.989
RandomForest,80,2,0.989,0.989
RandomForest,90,2,0.989,0.989
RandomForest,100,2,0.989,0.989
RandomForest,10,3,0.988,0.989
RandomForest,20,3,0.989,0.989
RandomForest,30,3,0.989,0.989
RandomForest,40,3,0.989,0.989
RandomForest,50,3,0.989,0.989
RandomForest,60,3,0.989,0.989
RandomForest,70,3,0.989,0.989
RandomForest,80,3,0.989,0.989
RandomForest,90,3,0.989,0.989
RandomForest,100,3,0.989,0.989
RandomForest,10,4,0.988,0.988
RandomForest,20,4,0.988,0.988
RandomForest,30,4,0.989,0.989
RandomForest,40,4,0.989,0.989
RandomForest,50,4,0.989,0.989
RandomForest,60,4,0.989,0.989
RandomForest,70,4,0.989,0.989
RandomForest,80,4,0.989,0.989
RandomForest,90,4,0.989,0.989
RandomForest,100,4,0.99,0.99
RandomForest,10,5,0.989,0.989
RandomForest,20,5,0.989,0.989
RandomForest,30,5,0.99,0.99
RandomForest,40,5,0.989,0.989
RandomForest,50,5,0.989,0.989
RandomForest,60,5,0.99,0.99
RandomForest,70,5,0.99,0.99
RandomForest,80,5,0.99,0.99
RandomForest,90,5,0.99,0.99
RandomForest,100,5,0.99,0.99
