classifier,parameter,fold,test_accuracy,test_f1_score
RandomForest,10,1,0.921,0.333
RandomForest,20,1,0.925,0.371
RandomForest,30,1,0.926,0.372
RandomForest,40,1,0.926,0.369
RandomForest,50,1,0.927,0.385
RandomForest,60,1,0.927,0.387
RandomForest,70,1,0.927,0.387
RandomForest,80,1,0.927,0.385
RandomForest,90,1,0.927,0.385
RandomForest,100,1,0.927,0.389
RandomForest,10,2,0.924,0.323
RandomForest,20,2,0.926,0.347
RandomForest,30,2,0.926,0.341
RandomForest,40,2,0.927,0.351
RandomForest,50,2,0.927,0.361
RandomForest,60,2,0.927,0.367
RandomForest,70,2,0.927,0.368
RandomForest,80,2,0.927,0.361
RandomForest,90,2,0.928,0.365
RandomForest,100,2,0.928,0.365
RandomForest,10,3,0.924,0.371
RandomForest,20,3,0.925,0.38
RandomForest,30,3,0.927,0.4
RandomForest,40,3,0.927,0.404
RandomForest,50,3,0.928,0.404
RandomForest,60,3,0.928,0.402
RandomForest,70,3,0.928,0.399
RandomForest,80,3,0.929,0.404
RandomForest,90,3,0.928,0.402
RandomForest,100,3,0.928,0.402
RandomForest,10,4,0.924,0.328
RandomForest,20,4,0.929,0.373
RandomForest,30,4,0.929,0.376
RandomForest,40,4,0.929,0.373
RandomForest,50,4,0.93,0.379
RandomForest,60,4,0.93,0.384
RandomForest,70,4,0.93,0.386
RandomForest,80,4,0.93,0.381
RandomForest,90,4,0.93,0.381
RandomForest,100,4,0.93,0.383
RandomForest,10,5,0.922,0.341
RandomForest,20,5,0.926,0.377
RandomForest,30,5,0.927,0.388
RandomForest,40,5,0.926,0.375
RandomForest,50,5,0.927,0.385
RandomForest,60,5,0.928,0.393
RandomForest,70,5,0.928,0.393
RandomForest,80,5,0.928,0.39
RandomForest,90,5,0.928,0.392
RandomForest,100,5,0.928,0.39
